media,drug,waste,pump_time,hour,vial_drug_mass,dil_rate
0,1,2,1702671264.0552232,1.1397222222222223e-06,0,0
0,1,2,1702671266.0567844,0.0005571336111111112,0,0
0,1,2,1702671268.0574265,0.0011128672222222222,0,0
0,1,2,1702671270.0584757,0.001668711388888889,0,0
0,1,2,1702671272.058946,0.0022244025,0,0
0,1,2,1702671274.059432,0.0027800927777777776,0,0
0,1,2,1702671276.0599434,0.0033357894444444444,0,0
0,1,2,1702671278.0603979,0.0038914733333333335,0,0
0,1,2,1702671280.0611863,0.004447243333333334,0,0
0,1,2,1702671282.061887,0.005002997222222222,0,0
0,1,2,1702671284.0626118,0.005558753333333334,0,0
0,1,2,1702671286.0633845,0.0061145225000000004,0,0
0,1,2,1702671288.0640798,0.0066702697222222225,0,0
0,1,2,1702671290.0653536,0.007226176666666667,0,0
0,1,2,1702671292.0668516,0.007782150000000001,0,0
0,1,2,1702671294.0672972,0.008337833333333334,0,0
0,1,2,1702671296.0680563,0.00889359611111111,0,0
0,1,2,1702671298.069084,0.0094494375,0,0
0,1,2,1702671300.0698447,0.010005207222222222,0,0
0,1,2,1702671302.071553,0.010561229722222221,0,0
0,1,2,1702671304.072432,0.011117029722222222,0,0
0,1,2,1702671306.073509,0.011672884166666666,0,0
0,1,2,1702671308.0758986,0.012229104444444446,0,0
0,1,2,1702671310.0763812,0.012784800833333334,0,0
0,1,2,1702671312.0772038,0.013340584444444444,0,0
0,1,2,1702671314.0783577,0.013896457222222222,0,0
0,1,2,1702671316.0792437,0.014452259444444445,0,0
0,1,2,1702671318.0796711,0.015007936944444444,0,0
0,1,2,1702671320.0802782,0.01556366138888889,0,0
0,1,2,1702671322.0812652,0.01611948638888889,0,0
0,1,2,1702671324.0828388,0.016675479444444443,0,0
0,1,2,1702671326.0829365,0.017231060833333332,0,0
0,1,2,1702671328.083818,0.017786863333333333,0,0
0,1,2,1702671330.0885766,0.01834371638888889,0,0
0,1,2,1702671332.0866432,0.018898759999999997,0,0
0,1,2,1702671334.0878077,0.019454630833333333,0,0
0,1,2,1702671336.0887496,0.020010455,0,0
0,1,2,1702671338.0897336,0.02056628333333333,0,0
0,1,2,1702671340.0905159,0.021122058611111112,0,0
0,1,2,1702671342.0917745,0.021677960277777776,0,0
0,1,2,1702671344.0925486,0.022233731666666666,0,0
0,1,2,1702671346.0936744,0.02278959888888889,0,0
0,1,2,1702671348.0942852,0.023345329166666665,0,0
0,1,2,1702671350.094803,0.02390102972222222,0,0
0,1,2,1702671352.0960116,0.024456918055555554,0,0
0,1,2,1702671354.0974555,0.02501286833333333,0,0
0,1,2,1702671356.0978904,0.025568553055555554,0,0
0,1,2,1702671358.0984945,0.026124276944444445,0,0
0,1,2,1702671360.0992465,0.026680041388888888,0,0
0,1,2,1702671362.1000335,0.027235805555555555,0,0
0,1,2,1702671364.1009512,0.027791624166666667,0,0
0,1,2,1702671366.1018703,0.028347434444444444,0,0
0,1,2,1702671368.1026573,0.02890320888888889,0,0
0,1,2,1702671370.103963,0.02945912388888889,0,0
0,1,2,1702671372.1056771,0.030015155277777778,0,0
0,1,2,1702671374.1067793,0.030571019444444448,0,0
0,1,2,1702671376.107437,0.031126759722222223,0,0
0,1,2,1702671378.1085227,0.031682612222222226,0,0
0,1,2,1702671380.109841,0.03223853861111111,0,0
0,1,2,1702671382.1114616,0.032794539722222224,0,0
0,1,2,1702671384.1127846,0.033350468611111114,0,0
0,1,2,1702671386.1132314,0.03390614861111111,0,0
0,1,2,1702671388.1137846,0.0344618575,0,0
0,1,2,1702671390.1150928,0.03501777222222222,0,0
0,1,2,1702671392.115488,0.03557344111111111,0,0
0,1,2,1702671394.1165273,0.03612928277777778,0,0
0,1,2,1702671396.1171641,0.03668501444444445,0,0
0,1,2,1702671398.1184213,0.03724091833333333,0,0
0,1,2,1702671400.119922,0.03779689527777778,0,0
0,1,2,1702671402.120826,0.038352700555555556,0,0
0,1,2,1702671404.1213198,0.038908394444444445,0,0
0,1,2,1702671406.1224978,0.03946427111111111,0,0
0,1,2,1702671408.1245086,0.04002039222222222,0,0
0,1,2,1702671410.1254551,0.04057620638888889,0,0
0,1,2,1702671412.1260653,0.04113193388888889,0,0
0,1,2,1702671414.126843,0.04168770388888889,0,0
0,1,2,1702671416.1280875,0.042243598888888886,0,0
0,1,2,1702671418.1293237,0.04279949944444444,0,0
0,1,2,1702671420.1308205,0.04335547277777778,0,0
0,1,2,1702671422.1316617,0.043911262222222226,0,0
0,1,2,1702671424.1322362,0.04446698166666666,0,0
0,1,2,1702671426.1328452,0.04502270611111111,0,0
0,1,2,1702671428.1332886,0.045578386666666665,0,0
0,1,2,1702671430.1337802,0.04613407916666667,0,0
0,1,2,1702671432.1360092,0.04669024833333333,0,0
0,1,2,1702671434.1351306,0.047245565555555556,0,0
0,1,2,1702671436.1356373,0.047801261666666664,0,0
