media,drug,waste,pump_time,hour,vial_drug_mass,dil_rate
0,1,2,1702671264.500287,2.7011111111111113e-06,0,0
0,1,2,1702671266.50095,0.0005584436111111112,0,0
0,1,2,1702671268.5014272,0.0011141319444444445,0,0
0,1,2,1702671270.5022957,0.001669925,0,0
0,1,2,1702671272.5027301,0.002225605555555556,0,0
0,1,2,1702671274.5041182,0.002781540277777778,0,0
0,1,2,1702671276.5053396,0.0033374411111111108,0,0
0,1,2,1702671278.5058215,0.0038931305555555554,0,0
0,1,2,1702671280.5063155,0.004448823611111111,0,0
0,1,2,1702671282.5072026,0.0050046225,0,0
0,1,2,1702671284.507659,0.0055603077777777775,0,0
0,1,2,1702671286.5083423,0.006116052777777778,0,0
0,1,2,1702671288.5090854,0.006671814722222223,0,0
0,1,2,1702671290.5102625,0.0072276933333333335,0,0
0,1,2,1702671292.5108998,0.007783427222222222,0,0
0,1,2,1702671294.5115666,0.008339170555555556,0,0
0,1,2,1702671296.512092,0.008894873055555556,0,0
0,1,2,1702671298.5130026,0.009450677777777779,0,0
0,1,2,1702671300.5134516,0.010006360833333333,0,0
0,1,2,1702671302.514196,0.010562123055555556,0,0
0,1,2,1702671304.5148945,0.0111178725,0,0
0,1,2,1702671306.5153909,0.011673566111111111,0,0
0,1,2,1702671308.516196,0.012229344166666666,0,0
0,1,2,1702671310.5167668,0.012785059444444444,0,0
0,1,2,1702671312.517489,0.013340814444444444,0,0
0,1,2,1702671314.5185447,0.013896663333333333,0,0
0,1,2,1702671316.5192156,0.014452405833333333,0,0
0,1,2,1702671318.519742,0.015008108333333334,0,0
0,1,2,1702671320.520772,0.015563946944444445,0,0
0,1,2,1702671322.5218792,0.016119810277777778,0,0
0,1,2,1702671324.5235891,0.016675842222222223,0,0
0,1,2,1702671326.5247016,0.017231705,0,0
0,1,2,1702671328.5252445,0.017787414166666665,0,0
0,1,2,1702671330.5267138,0.018343373333333333,0,0
0,1,2,1702671332.5271618,0.01889905861111111,0,0
0,1,2,1702671334.5286767,0.01945503111111111,0,0
0,1,2,1702671336.5293858,0.020010786666666665,0,0
0,1,2,1702671338.5301898,0.020566563611111113,0,0
0,1,2,1702671340.5305948,0.0211222325,0,0
0,1,2,1702671342.5313423,0.021677994444444446,0,0
0,1,2,1702671344.5321147,0.022233766388888892,0,0
0,1,2,1702671346.5333643,0.02278966027777778,0,0
0,1,2,1702671348.5351624,0.023345722222222223,0,0
0,1,2,1702671350.535603,0.02390140333333333,0,0
0,1,2,1702671352.5369306,0.02445732111111111,0,0
0,1,2,1702671354.5398028,0.025013666666666667,0,0
0,1,2,1702671356.5423954,0.025569951388888887,0,0
0,1,2,1702671358.5439112,0.02612592722222222,0,0
0,1,2,1702671360.5454667,0.026681918333333336,0,0
0,1,2,1702671362.5465999,0.027237786944444443,0,0
0,1,2,1702671364.5470357,0.027793468055555555,0,0
0,1,2,1702671366.5486822,0.02834947222222222,0,0
0,1,2,1702671368.5493176,0.02890521138888889,0,0
0,1,2,1702671370.5500724,0.02946097638888889,0,0
0,1,2,1702671372.5513122,0.030016876666666668,0,0
0,1,2,1702671374.551975,0.030572616944444443,0,0
0,1,2,1702671376.5529256,0.031128434722222223,0,0
0,1,2,1702671378.553838,0.03168424388888889,0,0
0,1,2,1702671380.555168,0.03224016055555556,0,0
0,1,2,1702671382.5558822,0.03279592305555556,0,0
0,1,2,1702671384.556863,0.03335175111111111,0,0
0,1,2,1702671386.5580888,0.03390764166666667,0,0
0,1,2,1702671388.5585036,0.03446332,0,0
0,1,2,1702671390.5596912,0.03501919777777778,0,0
0,1,2,1702671392.5611615,0.035575164444444446,0,0
0,1,2,1702671394.562985,0.03613122916666667,0,0
0,1,2,1702671396.5642297,0.03668712722222222,0,0
0,1,2,1702671398.564686,0.03724281555555556,0,0
0,1,2,1702671400.5651479,0.03779849916666667,0,0
0,1,2,1702671402.5656552,0.03835419527777778,0,0
0,1,2,1702671404.5666103,0.038910014444444446,0,0
0,1,2,1702671406.5681112,0.03946598027777778,0,0
0,1,2,1702671408.5683155,0.04002160055555556,0,0
0,1,2,1702671410.569164,0.04057738972222222,0,0
0,1,2,1702671412.5695872,0.041133065833333336,0,0
0,1,2,1702671414.5704753,0.041688864444444446,0,0
0,1,2,1702671416.5713496,0.042244660833333336,0,0
0,1,2,1702671418.5723796,0.04280050416666667,0,0
0,1,2,1702671420.5738447,0.043356454999999995,0,0
0,1,2,1702671422.5747259,0.04391226805555556,0,0
0,1,2,1702671424.5757458,0.044468105,0,0
0,1,2,1702671426.577325,0.04502410055555555,0,0
0,1,2,1702671428.577736,0.04557977361111111,0,0
0,1,2,1702671430.57842,0.046135518888888886,0,0
0,1,2,1702671432.5790966,0.046691262222222224,0,0
0,1,2,1702671434.5797536,0.04724699833333333,0,0
0,1,2,1702671436.5809016,0.04780286888888889,0,0
0,1,2,1702671438.581756,0.04835866666666666,0,0
0,1,2,1702671440.5829813,0.04891456194444444,0,0
0,1,2,1702671442.583855,0.049470360000000005,0,0
0,1,2,1702671444.5843074,0.05002604388888889,0,0
0,1,2,1702671446.5850909,0.0505818025,0,0
0,1,2,1702671448.5875869,0.051138055833333335,0,0
0,1,2,1702671450.587646,0.05169363388888889,0,0
0,1,2,1702671452.5887954,0.05224950833333333,0,0
0,1,2,1702671454.589394,0.05280523222222222,0,0
0,1,2,1702671456.5905936,0.05336111722222222,0,0
0,1,2,1702671458.5916142,0.053916958611111114,0,0
0,1,2,1702671460.5930448,0.05447291027777778,0,0
0,1,2,1702671462.5945225,0.055028876944444444,0,0
0,1,2,1702671464.5957553,0.05558477388888889,0,0
0,1,2,1702671466.5967758,0.05614061333333334,0,0
0,1,2,1702671468.597329,0.056696325000000006,0,0
0,1,2,1702671470.5986183,0.05725223611111111,0,0
0,1,2,1702671472.599253,0.057807971944444446,0,0
0,1,2,1702671474.5999196,0.05836371305555555,0,0
0,1,2,1702671476.6008317,0.05891951777777778,0,0
0,1,2,1702671478.6015236,0.059475269722222224,0,0
0,1,2,1702671480.6039665,0.06003149944444444,0,0
0,1,2,1702671482.603095,0.06058681611111111,0,0
0,1,2,1702671484.6041477,0.06114266333333333,0,0
0,1,2,1702671486.6047976,0.0616984,0,0
0,1,2,1702671488.6059334,0.06225426611111111,0,0
0,1,2,1702671490.6072395,0.06281018944444444,0,0
0,1,2,1702671492.6085353,0.06336610527777778,0,0
0,1,2,1702671494.610582,0.06392222583333333,0,0
0,1,2,1702671496.6125195,0.06447832222222222,0,0
0,1,2,1702671498.6134133,0.06503412555555556,0,0
0,1,2,1702671500.6149156,0.06559009861111112,0,0
0,1,2,1702671502.615141,0.06614571666666667,0,0
0,1,2,1702671504.6166644,0.06670169583333334,0,0
0,1,2,1702671506.6174278,0.0672574663888889,0,0
0,1,2,1702671508.6182222,0.06781324055555556,0,0
0,1,2,1702671510.6193032,0.06836909527777778,0,0
0,1,2,1702671512.6209161,0.06892509472222222,0,0
0,1,2,1702671514.620633,0.06948057777777777,0,0
0,1,2,1702671516.6213806,0.07003633833333334,0,0
0,1,2,1702671518.6219952,0.07059206555555556,0,0
0,1,2,1702671520.6235452,0.07114802611111112,0,0
0,1,2,1702671522.6253407,0.07170410555555555,0,0
0,1,2,1702671524.6259367,0.0722598286111111,0,0
0,1,2,1702671526.626878,0.07281564249999999,0,0
0,1,2,1702671528.6277013,0.07337142722222222,0,0
0,1,2,1702671530.6282814,0.0739271461111111,0,0
0,1,2,1702671532.6296659,0.07448307416666666,0,0
0,1,2,1702671534.6312077,0.07503906527777778,0,0
0,1,2,1702671536.6324675,0.07559496805555556,0,0
0,1,2,1702671538.6337483,0.07615088194444444,0,0
0,1,2,1702671540.6342666,0.07670658694444445,0,0
0,1,2,1702671542.6347778,0.07726228444444444,0,0
0,1,2,1702671544.6355057,0.07781804111111111,0,0
0,1,2,1702671546.6359606,0.078373725,0,0
0,1,2,1702671548.6367514,0.07892949944444445,0,0
0,1,2,1702671550.6380377,0.07948540861111111,0,0
0,1,2,1702671552.6396508,0.08004141583333332,0,0
0,1,2,1702671554.6407187,0.08059726638888888,0,0
0,1,2,1702671556.6426153,0.08115334416666667,0,0
0,1,2,1702671558.6440656,0.08170929527777777,0,0
0,1,2,1702671560.644999,0.08226512,0,0
0,1,2,1702671562.6528304,0.08282285138888888,0,0
0,1,2,1702671564.653295,0.08337853944444444,0,0
0,1,2,1702671566.6627624,0.08393672166666666,0,0
0,1,2,1702671568.666956,0.08449344194444446,0,0
0,1,2,1702671570.667051,0.0850490261111111,0,0
0,1,2,1702671572.683604,0.08560917833333333,0,0
0,1,2,1702671574.6710696,0.08616124888888889,0,0
0,1,2,1702671576.6881843,0.08672156333333333,0,0
0,1,2,1702671578.6875565,0.08727694666666666,0,0
0,1,2,1702671580.7153594,0.08784022250000001,0,0
0,1,2,1702671582.7103355,0.0883943811111111,0,0
0,1,2,1702671584.7487652,0.08896061361111111,0,0
0,1,2,1702671586.7357256,0.08951254750000001,0,0
0,1,2,1702671588.7364857,0.09006831333333333,0,0
0,1,2,1702671590.7371793,0.09062406027777778,0,0
0,1,2,1702671592.7376583,0.0911797525,0,0
0,1,2,1702671594.7382288,0.09173546611111111,0,0
0,1,2,1702671596.7388222,0.09229118638888889,0,0
0,1,2,1702671598.7398562,0.09284700944444445,0,0
0,1,2,1702671600.7405953,0.09340278583333333,0,0
0,1,2,1702671602.761559,0.09396416833333333,0,0
